age,workclass,education,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,income
48,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
54,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,1672,50,0
43,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,1
32,Private,Assoc-voc,Never-married,Exec-managerial,Not-in-family,Black,Female,0,0,35,0
43,State-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,1
45,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,4934,0,50,1
41,Private,School,Divorced,Other-service,Not-in-family,White,Male,0,0,40,0
70,Private,Some-college,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,25,0
41,Self-emp-not-inc,Masters,Divorced,Sales,Unmarried,White,Male,0,0,5,1
31,Federal-gov,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,0
22,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,0
65,Private,HS-grad,Widowed,Prof-specialty,Unmarried,White,Male,0,0,40,0
34,Self-emp-not-inc,Masters,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,0
17,Private,School,Never-married,Prof-specialty,Own-child,White,Female,0,0,25,0
40,Private,Some-college,Divorced,Exec-managerial,Unmarried,White,Female,1831,0,30,0
64,Private,School,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,0
44,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,0
48,Private,School,Widowed,Handlers-cleaners,Unmarried,White,Female,0,0,50,0
72,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,8,0
38,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,1
52,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,55,1
29,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,0
23,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,25,0
27,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,0
20,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,30,0
51,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,1
29,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,0
22,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,0
49,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,55,1
27,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,0
30,Private,Bachelors,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,0,0,15,0
30,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,15,1
45,Private,HS-grad,Never-married,Priv-house-serv,Unmarried,Black,Female,0,0,30,0
33,Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,5178,0,40,1
20,Federal-gov,HS-grad,Never-married,Other-service,Not-in-family,White,Female,0,0,40,0
90,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,1
64,Private,School,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,24,0
56,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,0
24,Private,School,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,0
67,State-gov,School,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,35,0
52,Federal-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,45,1
38,Private,Some-college,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,40,1
59,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,1
31,Private,Assoc-acdm,Divorced,Other-service,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,0
29,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,1
48,Private,HS-grad,Widowed,Prof-specialty,Unmarried,White,Female,0,0,25,0
44,Private,Assoc-voc,Divorced,Sales,Not-in-family,White,Male,0,0,45,0
21,Private,Bachelors,Never-married,Other-service,Other-relative,White,Male,0,0,20,0
33,Private,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,914,0,40,0
18,Private,Some-college,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0,0,40,0
37,Private,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,0
18,Private,School,Never-married,Other-service,Own-child,White,Female,0,0,12,0
37,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,0
48,Private,School,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,60,0
52,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,60,0
51,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,0
19,Private,HS-grad,Never-married,Other-service,Own-child,Black,Female,0,0,40,0
22,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,0,0,28,0
34,State-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,38,0
47,Self-emp-not-inc,Doctorate,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2002,45,0
40,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,0
46,Local-gov,Some-college,Divorced,Machine-op-inspct,Own-child,White,Female,0,0,40,0
27,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,0
32,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,4064,0,50,0
62,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,0
27,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,0,0,36,0
58,Federal-gov,School,Divorced,Craft-repair,Not-in-family,Black,Female,14084,0,40,1
45,Private,Bachelors,Divorced,Sales,Not-in-family,White,Male,8614,0,48,1
42,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,0
25,Private,School,Never-married,Prof-specialty,Unmarried,White,Female,0,0,25,0
25,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,1
52,Private,School,Married-spouse-absent,Prof-specialty,Other-relative,White,Male,0,0,40,0
34,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,0
18,Private,HS-grad,Never-married,Sales,Own-child,White,Female,0,0,28,0
32,Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,0,0,50,0
55,Local-gov,Some-college,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,0
35,Private,Bachelors,Married-spouse-absent,Craft-repair,Unmarried,White,Male,0,0,40,0
43,Private,School,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,0
29,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,35,0
33,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,0
44,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,1
29,State-gov,Some-college,Never-married,Protective-serv,Not-in-family,White,Male,0,0,36,0
62,Private,Some-college,Divorced,Other-service,Not-in-family,White,Female,0,0,60,0
42,Local-gov,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,0
33,Private,School,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,1
19,Without-pay,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,0,0,20,0
36,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,1
42,Private,School,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,0
73,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,20,0
35,Private,HS-grad,Separated,Other-service,Not-in-family,Black,Male,0,0,40,0
29,Private,Some-college,Married-civ-spouse,Other-service,Wife,Amer-Indian-Eskimo,Female,0,0,40,0
41,Federal-gov,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,1
24,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,0
61,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,1
35,State-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,1
63,State-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1740,40,0
53,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,1
18,Private,Some-college,Never-married,Other-service,Own-child,White,Male,0,0,12,0
37,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,38,0
51,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,27828,0,40,1
32,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,55,1
49,Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,1
21,Private,HS-grad,Divorced,Sales,Unmarried,Amer-Indian-Eskimo,Female,0,0,38,0
50,Private,School,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,0
30,Private,School,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,44,0
20,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,0,0,35,0
48,Private,School,Married-civ-spouse,Farming-fishing,Husband,White,Male,3781,0,50,0
44,Private,Assoc-voc,Separated,Craft-repair,Other-relative,White,Male,0,0,48,1
63,Private,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,0
53,Private,Doctorate,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,37,1
37,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,25236,0,25,1
46,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,0
45,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,1
33,Private,Prof-school,Never-married,Prof-specialty,Own-child,White,Male,0,0,42,1
20,Private,School,Never-married,Other-service,Unmarried,White,Male,0,0,30,0
47,State-gov,Masters,Separated,Prof-specialty,Not-in-family,White,Male,0,0,38,0
58,Private,School,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,33,0
45,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,1
34,Private,HS-grad,Divorced,Other-service,Own-child,White,Male,0,0,40,0
73,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,0,0,25,0
53,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,0
46,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,1
42,Federal-gov,Assoc-acdm,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0,0,40,1
53,Private,HS-grad,Widowed,Sales,Not-in-family,White,Female,0,0,30,0
60,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,40,1
47,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,1
44,Federal-gov,Bachelors,Widowed,Exec-managerial,Unmarried,White,Female,0,0,40,1
45,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,1
47,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,7688,0,40,1
36,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,40,0
59,Self-emp-not-inc,Assoc-voc,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,35,1
20,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,0,0,30,0
25,Private,School,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,40,0
20,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,0
57,Private,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,0
38,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,0,36,0
43,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,1
36,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,3103,0,42,1
45,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,1
50,Private,Bachelors,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,8,0
42,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,38,1
52,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,0
38,Federal-gov,Some-college,Divorced,Exec-managerial,Unmarried,White,Female,0,0,38,0
32,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,0
62,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,3103,0,40,1
21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,0,0,10,0
77,Private,School,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,20,0
68,Private,Some-college,Widowed,Other-service,Not-in-family,White,Female,0,0,20,0
55,Self-emp-not-inc,School,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,25,0
62,Local-gov,HS-grad,Widowed,Other-service,Not-in-family,White,Female,0,0,40,0
65,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,1
58,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,1
34,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,10,1
17,Private,School,Never-married,Adm-clerical,Own-child,White,Male,0,0,16,0
31,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,1
41,Private,HS-grad,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,0,0,50,0
