x,y,shot_distance,shot_angle,body_part,is_goal
115.9,39.2,4.177319714841079,0.1927007586623851,Left Foot,1
110.4,37.2,9.999999999999996,0.2837941092083277,Left Foot,1
92.3,28.1,30.147968422432715,0.4057628662041367,Left Foot,1
116.1,40.6,3.945883931389777,0.1526493283952653,Head,1
98.5,45.7,22.242751628339512,0.2591543765416013,Left Foot,1
113.5,51.1,12.86312559217238,1.041043088675384,Right Foot,1
96.0,58.5,30.30264014900352,0.6567016621194341,Right Foot,1
107.9,40.0,12.099999999999994,0.0,Right Foot,1
110.2,43.3,10.34069630150697,0.3248086488391013,Left Foot,1
117.9,39.1,2.284731931759167,0.4048917862850838,Head,1
115.3,37.7,5.232590180780453,0.4551008085681939,Left Foot,1
112.1,36.3,8.723531395025761,0.4380122004791286,Right Foot,1
110.9,41.6,9.239588735436222,0.1740452398427389,Head,1
105.9,40.9,14.128694207179937,0.063743312532687,Left Foot,1
107.9,40.0,12.099999999999994,0.0,Right Foot,1
110.9,38.9,9.166242414424785,0.1202954769279543,Left Foot,1
108.6,44.8,12.369316876852984,0.3985224456664198,Head,1
84.1,43.7,36.09016486523719,0.1027014526771092,Right Foot,1
113.4,28.4,13.346160496562296,1.0535089464672758,Left Foot,1
107.8,40.4,12.206555615733706,0.0327751444040756,Left Foot,1
113.4,45.9,8.852683209061528,0.7294565921638877,Head,1
111.7,41.4,8.417244204607584,0.1671017999311055,Left Foot,1
108.0,39.8,12.001666550941998,0.0166651237139409,Right Foot,1
94.5,38.2,25.563450471327226,0.0704713445787955,Right Foot,1
101.9,41.8,18.189282558693726,0.0991216065938714,Right Foot,1
110.1,38.3,10.044899203078154,0.1700586215920565,Head,1
112.9,42.7,7.596051605933173,0.3633931334952312,Head,1
100.9,45.9,19.99049774267764,0.2996022779571343,Right Foot,1
107.9,40.0,12.099999999999994,0.0,Right Foot,1
107.3,44.3,13.408206442324792,0.3264675005450476,Left Foot,1
108.8,41.3,11.27519401163457,0.1155543416736871,Right Foot,1
113.7,43.2,7.066116330771804,0.4699766384170085,Head,1
112.4,40.7,7.632168761236868,0.0918461262647379,Right Foot,1
99.5,18.7,29.56247621563525,0.8045345831007997,Right Foot,1
108.0,40.1,12.00041665943312,0.008333140440136,Right Foot,1
107.9,48.3,14.673104647619732,0.6012343454711561,Right Foot,1
114.2,36.3,6.879680225126745,0.5678440442634405,Head,1
95.8,37.4,24.33926868252208,0.1070274730493742,Left Foot,1
93.7,50.6,28.355775425828156,0.3831258865104591,Right Foot,1
113.8,38.0,6.514598989960935,0.3120421215625331,Right Foot,1
104.3,40.0,15.700000000000005,0.0,Right Foot,1
109.0,38.5,11.10180165558726,0.1355277139855007,Right Foot,1
112.8,42.0,7.472616676907764,0.2709468503384204,Right Foot,1
108.9,28.4,16.05521722057973,0.8074210340104232,Left Foot,1
114.2,36.1,6.989277502002618,0.591970836686601,Right Foot,1
111.0,43.0,9.486832980505138,0.3217505543966422,Head,1
103.6,42.3,16.5604951616792,0.1393351473141311,Right Foot,1
98.5,34.5,22.192341021172147,0.2504430896113518,Right Foot,1
112.4,40.5,7.61642960973184,0.0656948015524648,Left Foot,1
109.8,45.5,11.588356225108033,0.4945258223889779,Left Foot,1
109.6,40.0,10.400000000000006,0.0,Right Foot,1
116.7,38.2,3.758989225842496,0.4993467216801298,Left Foot,1
107.1,47.2,14.773286702694165,0.5090708884223831,Right Foot,1
112.6,37.7,7.749193506423754,0.3013452237101035,Right Foot,1
102.0,44.2,18.483506160899235,0.2292319332769954,Right Foot,1
104.3,23.1,23.067292862405854,0.8221913675439362,Right Foot,1
116.9,41.9,3.6359317925395622,0.5498531826765855,Right Foot,1
107.5,47.0,14.326548781894402,0.5104883219167757,Right Foot,1
115.9,43.1,5.140038910358554,0.6473921397399297,Right Foot,1
107.9,40.0,12.099999999999994,0.0,Right Foot,1
104.2,32.4,17.53282635515449,0.4483426816766144,Right Foot,1
106.9,32.5,15.09503229542752,0.5199678067485285,Right Foot,1
111.9,32.7,10.904127658827177,0.7334967649392755,Left Foot,1
103.9,40.6,16.11117624507906,0.0372498424952047,Right Foot,1
112.3,38.7,7.808969202141857,0.1672539374622607,Right Foot,1
97.7,27.6,25.515681452785067,0.5074791667264438,Right Foot,1
108.4,40.4,11.60689450283752,0.0344691009995079,Left Foot,1
115.3,39.1,4.785394445602162,0.1891990220999677,Right Foot,1
114.2,40.3,5.807753438292639,0.0516780844824295,Right Foot,1
115.9,32.4,8.63539228987311,1.076070644310649,Right Foot,1
118.6,36.0,4.23792402008342,1.2341215074081682,Right Foot,1
95.2,42.9,24.96898075613019,0.1164068261046952,Left Foot,1
103.7,38.2,16.399085340347487,0.1099838206022834,Right Foot,1
107.6,37.3,12.690547663517131,0.2143954676155926,Right Foot,1
102.9,33.7,18.22361105818492,0.3529903878269104,Left Foot,1
110.2,42.7,10.165136496870073,0.2688404816789792,Right Foot,1
115.6,38.8,4.560701700396558,0.2662520491509256,Left Foot,1
115.2,41.5,5.02891638427206,0.3028848683749716,Right Foot,1
114.5,49.2,10.718675291284836,1.0319768251589814,Left Foot,1
98.7,40.5,21.305867736377223,0.0234698681147237,Right Foot,1
93.8,39.3,26.20934947685654,0.0267112027276868,Right Foot,1
109.2,48.5,13.74372584127026,0.6667865645367115,Left Foot,1
114.7,40.8,5.360037313302956,0.1498124565728969,Right Foot,1
114.5,36.6,6.466065264130883,0.5536813222069975,Left Foot,1
114.0,43.8,7.10211236182588,0.5645693936680997,Right Foot,1
116.4,34.8,6.324555320336757,0.9652516631899276,Left Foot,1
117.8,44.1,4.652956049652739,1.0783105609229713,Head,1
101.1,48.2,20.60218435020909,0.4093531970925001,Left Foot,1
106.7,36.9,13.65650028374766,0.2289942342084986,Right Foot,1
109.0,36.3,11.605602095539895,0.3244753432935741,Left Foot,1
113.8,40.7,6.2393909959226015,0.1124271308301905,Head,1
113.9,33.6,8.841379982785487,0.8093935569893186,Head,1
113.3,32.5,10.056838469419704,0.8416766996862101,Left Foot,1
115.9,43.0,5.08035431835221,0.63169063433897,Right Foot,1
102.1,31.6,19.77296133612768,0.4387658672156701,Right Foot,1
111.6,46.4,10.560303025955273,0.6510767214444794,Right Foot,1
107.7,32.4,14.458561477546787,0.553467395587093,Left Foot,1
103.6,34.0,17.463103962354463,0.3507279482482034,Right Foot,1
111.1,47.2,11.447707194019252,0.6801979139768952,Right Foot,1
106.2,34.2,14.96930192093138,0.3978743576171693,Left Foot,1
107.1,59.6,23.46422809299296,0.9887038199192674,Left Foot,1
103.9,45.3,16.94992625352688,0.3180192284299834,Right Foot,1
106.6,33.5,14.893287078412213,0.4516361746702448,Right Foot,1
105.2,28.6,18.6815416922694,0.6563483676631917,Right Foot,1
100.3,38.9,19.73068675946177,0.055779641026896,Left Foot,1
108.0,40.0,12.0,0.0,Right Foot,1
111.2,46.8,11.121151019566272,0.65788860518221,Head,1
94.6,46.7,26.26880278962101,0.2579049976027706,Right Foot,1
111.6,42.1,8.658521813797094,0.2449786631268641,Head,1
118.7,34.9,5.263078946776308,1.3212094013579123,Left Foot,1
116.6,36.8,4.669047011971506,0.7551044034786728,Right Foot,1
112.7,38.9,7.3824115301166975,0.1495597398737034,Left Foot,1
112.3,34.4,9.521029356114814,0.628796286415433,Right Foot,1
114.4,40.7,5.64358042380898,0.124354994546762,Head,1
107.5,42.1,12.675172582651488,0.1664456935485435,Right Foot,1
114.3,37.2,6.350590523722972,0.4566054718924933,Right Foot,1
107.9,39.8,12.10165277968261,0.016527420602721,Right Foot,1
108.2,39.9,11.800423721205943,0.0084743734029707,Right Foot,1
97.5,33.6,23.392520172055,0.2771252614240621,Right Foot,1
115.9,38.4,4.4011362169330726,0.3720677588581212,Head,1
113.5,46.6,9.263368717696604,0.7930316029149415,Right Foot,1
113.2,34.5,8.745856161634489,0.6800980338334003,Left Foot,1
99.3,50.5,23.21077336066164,0.4694278914444678,Right Foot,1
104.6,47.6,17.173234989366453,0.4584393227617342,Right Foot,1
116.9,35.7,5.300943312279423,0.9461609040232836,Head,1
118.3,44.4,4.716990566028302,1.2021004241368465,Right Foot,1
111.9,41.5,8.237718130647583,0.1831108172624842,Right Foot,1
102.6,41.2,17.441330224498365,0.0688564893010447,Right Foot,1
113.1,31.0,11.340634902861485,0.916713602380536,Head,1
103.1,45.6,17.80365131089688,0.3199743573302577,Left Foot,1
84.1,43.0,36.02513011773865,0.0833717528617668,Right Foot,1
102.0,36.7,18.3,0.18131977440149,Left Foot,1
110.3,39.2,9.73293378175358,0.0822879897746815,Left Foot,1
118.9,38.0,2.2825424421026628,1.067953115867038,Left Foot,1
98.9,21.1,28.327018904219337,0.730453521290887,Right Foot,1
108.1,40.1,11.900420160649796,0.0084031635476471,Right Foot,1
114.1,45.6,8.134494452638103,0.7593171221066957,Left Foot,1
116.1,39.6,3.920459156782537,0.102206718107253,Head,1
115.0,42.5,5.5901699437494745,0.4636476090008061,Head,1
104.1,48.6,18.07678068683692,0.4958147275373697,Left Foot,1
100.7,48.7,21.170262161815568,0.4235000600081317,Right Foot,1
114.9,40.1,5.100980297942734,0.0196053308572049,Right Foot,1
107.6,50.1,15.992810884894505,0.6835297784226555,Right Foot,1
106.1,25.7,19.942417105255824,0.7995816093887569,Right Foot,1
113.5,43.9,7.580237463298889,0.5404195002705839,Head,1
111.1,64.2,25.7846853771769,1.2183805414713056,Right Foot,1
110.6,50.1,13.797463535012518,0.8212801917506055,Right Foot,1
108.0,40.0,12.0,0.0,Right Foot,1
110.3,34.6,11.10180165558726,0.5079733948077835,Left Foot,1
115.4,40.8,4.669047011971495,0.1721908145229386,Head,1
117.5,39.3,2.5961509971494348,0.2730087030867116,Left Foot,1
111.3,51.4,14.340502083260546,0.9189272124893196,Right Foot,1
